   name   params aux1 aux2    stage/arc    chunk/index
 kuro_t 00000401 0000 0000 in A_mori/Room0 ACTR/Layer2/007
 kuro_t 00000401 0000 0000 in A_mori/Room0 ACTR/Layer2/008
 kuro_t 00000301 0000 0000 in A_mori/Room0 ACTR/Layer3/000
 kuro_t 00000301 0000 0000 in A_mori/Room0 ACTR/Layer3/001
   gmos FF010000 00FF 00FF in A_mori/Room0 ACTR/Layer3/002
    mo2 FFFFFF01 001F 00FF in A_mori/Room0 ACTR/Layer3/003
    mo2 FFFFFF01 001F 00FF in A_mori/Room0 ACTR/Layer3/004
 kuro_t 00000401 0000 0000 in A_mori/Room0 ACTR/Layer3/005
 kuro_t 00000401 0000 0000 in A_mori/Room0 ACTR/Layer3/006
 kuro_t 00000401 0000 0000 in A_mori/Room0 ACTR/Layer3/007
 kuro_t 00000401 0000 0000 in A_mori/Room0 ACTR/Layer3/008
    Zl1 00000001 0000 0000 in A_mori/Room0 ACTR/Layer8/000
 Branch FFFFFFFF 0000 0000 in A_mori/Room0 ACTR/Layer8/001
    P1a 00000000 0000 0000 in A_mori/Room0 ACTR/Layer8/002
   gmos FF010000 00FF 00FF in A_mori/Room0 ACTR/LayerB/000
  TagEv 03FF03FF 0000 FFFF in A_mori/Room0 SCOB/000
ky_tag0 0A0A05FF 00FF 0000 in A_mori/Room0 SCOB/001
  TagEv 01FF0001 0000 FFFF in A_mori/Room0 SCOB/002
  TagEv 00FF0102 0000 FFFF in A_mori/Room0 SCOB/003
  TagEv 01FF0001 0000 FFFF in A_mori/Room0 SCOB/004
  TagEv 01FF0001 0000 FFFF in A_mori/Room0 SCOB/005
 AttTag 000002FF 0000 0000 in A_mori/Room0 SCOB/006
  Mcube 0F0FFF00 0000 0000 in A_mori/Room0 SCOB/007
  TagEv 03FF03FF 0000 FFFF in A_mori/Room0 SCOB/008
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/000
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/001
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/002
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/003
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/004
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/005
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/006
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/007
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/008
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/009
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/00A
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/00B
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/00C
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/00D
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/00E
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/00F
  lwood FFFFFFFF 0000 0000 in A_mori/Room0 TGOB/010
   Ship 0000FFFF 0000 0000 in A_nami/Stage ACTR/000
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/000
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/001
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/002
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/003
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/004
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/005
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/006
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/007
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/008
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/009
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/00A
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/00B
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/00C
 Kamome FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/00D
Krock00 727F003F 0000 0000 in A_nami/Room0 ACTR/00E
Krock00 727F003F 0000 0000 in A_nami/Room0 ACTR/00F
Krock00 727F003F 0000 0000 in A_nami/Room0 ACTR/010
Krock00 727F003F 0000 0000 in A_nami/Room0 ACTR/011
Krock00 727F003F 0000 0000 in A_nami/Room0 ACTR/012
  swood 00000010 0000 0000 in A_nami/Room0 ACTR/013
  swood 00000010 0000 0000 in A_nami/Room0 ACTR/014
  swood 00000010 0000 0000 in A_nami/Room0 ACTR/015
  swood 00000010 0000 0000 in A_nami/Room0 ACTR/016
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/017
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/018
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/019
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/01A
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/01B
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/01C
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/01D
  lwood FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/01E
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/01F
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/020
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/021
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/022
Krock00 727F003F 0000 0000 in A_nami/Room0 ACTR/023
Krock00 727F003F 0000 0000 in A_nami/Room0 ACTR/024
Krock00 727F003F 0000 0000 in A_nami/Room0 ACTR/025
Krock00 727F003F 0000 0000 in A_nami/Room0 ACTR/026
     Bk FFFF1460 0000 00FF in A_nami/Room0 ACTR/027
     Bk FFFF1460 0000 00FF in A_nami/Room0 ACTR/028
     Bk FFFF1460 0000 00FF in A_nami/Room0 ACTR/029
  lwood FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/02A
  lwood FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/02B
  lwood FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/02C
  lwood FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/02D
  lwood FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/02E
  lwood FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/02F
  lwood FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/030
  lwood FFFFFFFF 0000 0000 in A_nami/Room0 ACTR/031
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/032
 swood3 00000013 0000 0000 in A_nami/Room0 ACTR/033
 swood3 00000013 0000 0000 in A_nami/Room0 ACTR/034
 swood3 00000013 0000 0000 in A_nami/Room0 ACTR/035
 swood3 00000013 0000 0000 in A_nami/Room0 ACTR/036
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/037
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/038
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/039
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/03A
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/03B
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/03C
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/03D
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/03E
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/03F
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/040
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/041
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/042
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/043
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/044
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/045
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/046
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/047
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/048
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/049
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/04A
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/04B
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/04C
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/04D
kusax21 00000A82 0000 0000 in A_nami/Room0 ACTR/04E
     Bk FFFF1460 0000 00FF in A_nami/Room0 ACTR/04F
     Bk FFFF1460 0000 00FF in A_nami/Room0 ACTR/050
    mo2 FFFF1400 0000 00FF in A_nami/Room0 ACTR/051
ky_tag1 FFFFFFFF 0000 0000 in A_nami/Room0 SCOB/000
    sea 00010000 0000 0000 in A_umikz/Stage ACTR/000
   NBOX 000312FF 0000 0000 in A_umikz/Stage SCOB/000
Pirates 01FF0001 0000 0000 in A_umikz/Room0 ACTR/000
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/001
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/002
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/003
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/004
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/005
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/006
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/007
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/008
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/009
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/00A
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/00B
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/00C
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/00D
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/00E
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/00F
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/010
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/011
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/012
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/013
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/014
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/015
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/016
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/017
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/018
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/019
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/01A
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/01B
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/01C
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/01D
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/01E
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/01F
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/020
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/021
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/022
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/023
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/024
 Kamome FFFFFFFF 0000 0000 in A_umikz/Room0 ACTR/025
ky_tag2 000000FF 0000 0000 in A_umikz/Room0 ACTR/026
ky_tag1 FFFFFFFF 0000 0000 in A_umikz/Room0 SCOB/000
    Kui 0BF2FF04 0000 0000 in Abesso/Room0 ACTR/000
   Fire 00F1F00B 0000 0000 in Abesso/Room0 ACTR/001
   Apzl 00FF0017 0000 0000 in Abesso/Room0 ACTR/002
   Apzl 00FF01FF 0000 0000 in Abesso/Room0 ACTR/003
  swood 00000010 0000 0000 in Abesso/Room0 ACTR/004
  swood 00000010 0000 0000 in Abesso/Room0 ACTR/005
  swood 00000010 0000 0000 in Abesso/Room0 ACTR/006
  swood 00000010 0000 0000 in Abesso/Room0 ACTR/007
  swood 00000010 0000 0000 in Abesso/Room0 ACTR/008
   MPot 00000000 0000 0000 in Abesso/Room0 ACTR/009
 MKoppu 00000002 0000 0000 in Abesso/Room0 ACTR/00A
 MKoppu 00000002 0000 0000 in Abesso/Room0 ACTR/00B
  Ptubo 7E1CFF30 0000 00FF in Abesso/Room0 ACTR/00C
  Ptubo 7E1DFF30 0000 00FF in Abesso/Room0 ACTR/00D
  Ptubo 7E1EFF33 0000 00FF in Abesso/Room0 ACTR/00E
  Ptubo 7E1FFF30 0000 00FF in Abesso/Room0 ACTR/00F
   Lamp FFFFFF01 0000 0000 in Abesso/Room0 ACTR/010
   Lamp FFFFFF01 0000 0000 in Abesso/Room0 ACTR/011
   Lamp FFFFFF01 0000 0000 in Abesso/Room0 ACTR/012
  Kmtub 727FFF3F 0000 00FF in Abesso/Room0 ACTR/Layer7/000
  Kmtub 727FFF3F 0000 00FF in Abesso/Room0 ACTR/Layer7/001
 AttTag 0000020B 0000 0000 in Abesso/Room0 SCOB/000
 AttTag 000002FF 0000 0000 in Abesso/Room0 SCOB/001
bonbori FFFFFF82 0000 0000 in Abesso/Room0 SCOB/002
bonbori FFFFFF82 0000 0000 in Abesso/Room0 SCOB/003
bonbori FFFFFF82 0000 0000 in Abesso/Room0 SCOB/004
KNOB01D 004FF1FF 0FFF 1BBD in Abesso/Room0 DOOR/000
     Bk FFFF5064 0003 00E1 in Abship/Room0 ACTR/000
     Bk FFFF5064 0004 00E2 in Abship/Room0 ACTR/001
     Bk FFFF7880 0005 00E3 in Abship/Room0 ACTR/002
     Bk FFFF7880 0002 00E4 in Abship/Room0 ACTR/003
 Mhsg4h 0001E004 0000 0000 in Abship/Room0 ACTR/004
AND_SW2 E1E00004 00FF 0003 in Abship/Room0 ACTR/005
  Kmtub 727FFF3F 0000 00FF in Abship/Room0 ACTR/006
  Kmtub 727FFF3F 0000 00FF in Abship/Room0 ACTR/007
  Kmtub 727FFF3F 0000 00FF in Abship/Room0 ACTR/008
  keeth FFFF0000 0000 00FF in Abship/Room0 ACTR/009
  keeth FFFF0000 0000 00FF in Abship/Room0 ACTR/00A
  keeth FFFF0000 0000 00FF in Abship/Room0 ACTR/00B
  keeth FFFF0000 0000 00FF in Abship/Room0 ACTR/00C
  keeth FFFF0000 0000 00FF in Abship/Room0 ACTR/00D
ootubo1 717FFF20 0000 00FF in Abship/Room0 ACTR/00E
ootubo1 717FFF21 0000 00FF in Abship/Room0 ACTR/00F
ootubo1 717FFF2B 0000 00FF in Abship/Room0 ACTR/010
bonbori FFFFFFC0 0000 0000 in Abship/Room0 SCOB/000
bonbori FFFFFFC0 0000 0000 in Abship/Room0 SCOB/001
bonbori FFFFFFC0 0000 0000 in Abship/Room0 SCOB/002
bonbori E6FFFF80 0000 0000 in Abship/Room0 SCOB/003
 SW_C00 0003FFE6 0000 0000 in Abship/Room0 SCOB/004
bonbori FFFFFF81 0000 0000 in Abship/Room0 SCOB/005
bonbori FFFFFF81 0000 0000 in Abship/Room0 SCOB/006
bonbori FFFFFF81 0000 0000 in Abship/Room0 SCOB/007
bonbori FFFFFF81 0000 0000 in Abship/Room0 SCOB/008
bonbori FFFFFF81 0000 0000 in Abship/Room0 SCOB/009
bonbori FFFFFF81 0000 0000 in Abship/Room0 SCOB/00A
  TagEv 00E0E5FF 0000 FFFF in Abship/Room0 SCOB/LayerB/000
takara6 FF2E6081 0000 07FF in Abship/Room0 TRES/000
